progrm_file_nm,url
selectNotificationList,/uss/ion/noi/EgovNotificationData.do
getMainImageResult,/uss/ion/msi/EgovMainImageView.do
listRssTagService,/uss/ion/rsn/EgovRssTagService.do
listNoteTrnsmit,/uss/ion/nts/EgovNoteTrnsmitCnfirm.do
selectMtgPlaceManageList,/uss/ion/mtg/EgovMtgPlaceManageList.do
EgovCtsnnConfmList,/uss/ion/ctn/EgovCtsnnConfmList.do
EgovEventReqstManageList,/uss/ion/evt/EgovEventReqstManageList.do
selectEventRceptConfmList,/uss/ion/evt/EgovEventRceptConfm.do
EgovCcmCmmnCodeList,/cmm/sym/ccm/EgovCcmCmmnCodeList.do
SelectUserLogList,/sym/log/ulg/EgovUserLogDetail.do
EgovMenuManageSelect,/sym/mnu/mpm/EgovMenuManage.do
EgovProgramChangeRequstSelect,/sym/prm/EgovProgramChangeRequst.do
getBatchSchdulList,/sym/bat/EgovBatchSchdulList.do
selectNtwrkList,/sym/sym/nwk/EgovNtwrkDetail.do
selectTroblProcessList,/sym/tbm/tbp/EgovTroblProcessList.do
getCntcSttusList,/ssi/syi/ist/EgovCntcSttusList.do
EgovComDamMapMaterialList,/dam/map/mat/EgovComDamMapMaterialList.do
getTrsmrcvMntrngList,/utl/sys/trm/EgovTrsmrcvMntrngList.do
EgovComUtlHttpMonList,/utl/sys/htm/EgovComUtlHttpMonList.do
selectMntrngServerList,/utl/sys/srm/EgovMntrngServerList.do
