MENU_NO|MENU_NM|UPPER_MENU_NO|PROGRM_FILE_NM|ORIG_URL|ORIG_STRE_PATH
5520000|회의실관리|5000000|selectMtgPlaceManageList|/uss/ion/mtg/selectMtgPlaceManageList.do|/uss/ion/mtg/
5530000|회의실예약관리|5000000|selectMtgPlaceResveManageList|/uss/ion/mtg/selectMtgPlaceResveManageList.do|/uss/ion/mtg/
5540000|직원경조사관리|5000000|selectCtsnnManageList|/uss/ion/ctn/selectCtsnnManageList.do|/uss/ion/ctn/
5550000|직원경조사승인관리|5000000|EgovCtsnnConfmList|/uss/ion/ctn/EgovCtsnnConfmList.do|/uss/ion/ctn/
5560000|휴가관리|5000000|EgovVcatnManageList|/uss/ion/vct/EgovVcatnManageList.do|/uss/ion/vct/
5570000|휴가승인관리|5000000|EgovVcatnConfmList|/uss/ion/vct/EgovVcatnConfmList.do|/uss/ion/vct/
5580000|당직관리|5000000|EgovBndtManageList|/uss/ion/bnt/EgovBndtManageList.do|/uss/ion/bnt/
5590000|당직체크관리|5000000|EgovBndtCeckManageList|/uss/ion/bnt/EgovBndtCeckManageList.do|/uss/ion/bnt/
5600000|포상관리|5000000|selectRwardManageList|/uss/ion/rwd/selectRwardManageList.do|/uss/ion/rwd/
5610000|포상승인관리|5000000|EgovRwardConfmList|/uss/ion/rwd/EgovRwardConfmList.do|/uss/ion/rwd/
5620000|기념일관리|5000000|selectAnnvrsryManageList|/uss/ion/ans/selectAnnvrsryManageList.do|/uss/ion/ans/
5630000|기념일목록(확인용)|5000000|selectAnnvrsryMainList|/uss/ion/ans/selectAnnvrsryMainList.do|/uss/ion/ans/
5640000|행사신청관리|5000000|EgovEventReqstManageList|/uss/ion/evt/EgovEventReqstManageList.do|/uss/ion/evt/
5650000|행사접수관리|5000000|EgovEventRcrptManageList|/uss/ion/evt/EgovEventRcrptManageList.do|/uss/ion/evt/
5660000|행사접수승인관리|5000000|selectEventRceptConfmList|/uss/ion/evt/selectEventRceptConfmList.do|/uss/ion/evt/
6000000|시스템관리|0|dir|dir|dir
6010000|공통분류코드|6000000|EgovCcmCmmnClCodeList|/sym/ccm/ccc/EgovCcmCmmnClCodeList.do|/sym/ccm/ccc/
6020000|공통상세코드|6000000|EgovCcmCmmnDetailCodeList|/sym/ccm/cde/EgovCcmCmmnDetailCodeList.do|/sym/ccm/cde/
6030000|공통코드|6000000|EgovCcmCmmnCodeList|/sym/ccm/cca/EgovCcmCmmnCodeList.do|/sym/ccm/cca/
6040000|우편번호관리|6000000|EgovCcmZipList|/sym/ccm/zip/EgovCcmZipList.do|/sym/ccm/zip/
6050000|행정코드관리|6000000|EgovCcmAdministCodeList|/sym/ccm/adc/EgovCcmAdministCodeList.do|/sym/ccm/adc/
6060000|기관코드수신|6000000|getInsttCodeRecptnList|/sym/ccm/icr/getInsttCodeRecptnList.do|/sym/ccm/icr/
6070000|로그관리|6000000|SelectSysLogList|/sym/log/lgm/SelectSysLogList.do|/sym/log/lgm/
6080000|사용로그관리|6000000|SelectUserLogList|/sym/log/ulg/SelectUserLogList.do|/sym/log/ulg/
6090000|송/수신로그관리|6000000|SelectTrsmrcvLogList|/sym/log/tlg/SelectTrsmrcvLogList.do|/sym/log/tlg/
6100000|시스템이력관리|6000000|SelectSysHistoryList|/sym/log/slg/SelectSysHistoryList.do|/sym/log/slg/
6110000|웹로그관리|6000000|SelectWebLogList|/sym/log/wlg/SelectWebLogList.do|/sym/log/wlg/
6120000|접속로그관리|6000000|SelectLoginLogList|/sym/log/clg/SelectLoginLogList.do|/sym/log/clg/
6130000|메뉴리스트관리|6000000|EgovMenuListSelect|/sym/mnu/mpm/EgovMenuListSelect.do|/sym/mnu/mpm/
6140000|메뉴관리리스트|6000000|EgovMenuManageSelect|/sym/mnu/mpm/EgovMenuManageSelect.do|/sym/mnu/mpm/
6150000|메뉴생성관리|6000000|EgovMenuCreatManageSelect|/sym/mnu/mcm/EgovMenuCreatManageSelect.do|/sym/mnu/mcm/
6160000|사이트맵|6000000|EgovSiteMapng|/sym/mnu/stm/EgovSiteMapng.do|/sym/mnu/stm/
6170000|바로가기메뉴관리|6000000|selectBkmkMenuManageList|/sym/mnu/bmm/selectBkmkMenuManageList.do|/sym/mnu/bmm/
6180000|프로그램관리|6000000|EgovProgramListManageSelect|/sym/prm/EgovProgramListManageSelect.do|/sym/prm/
6190000|프로그램변경요청관리|6000000|EgovProgramChangeRequstSelect|/sym/prm/EgovProgramChangeRequstSelect.do|/sym/prm/
6200000|프로그램변경요청처리|6000000|EgovProgramChangeRequstProcessListSelect|/sym/prm/EgovProgramChangeRequstProcessListSelect.do|/sym/prm/
6210000|프로그램변경이력|6000000|EgovProgramChgHstListSelect|/sym/prm/EgovProgramChgHstListSelect.do|/sym/prm/
6220000|배치작업관리|6000000|getBatchOpertList|/sym/bat/getBatchOpertList.do|/sym/bat/
6230000|배치결과관리|6000000|getBatchResultList|/sym/bat/getBatchResultList.do|/sym/bat/
6240000|스케줄처리|6000000|getBatchSchdulList|/sym/bat/getBatchSchdulList.do|/sym/bat/
6250000|백업관리|6000000|getBackupOpertList|/sym/sym/bak/getBackupOpertList.do|/sym/sym/bak/
6260000|백업결과관리|6000000|getBackupResultList|/sym/sym/bak/getBackupResultList.do|/sym/sym/bak/
6270000|네트워크관리|6000000|selectNtwrkList|/sym/sym/nwk/selectNtwrkList.do|/sym/sym/nwk/
6280000|서버정보관리|6000000|selectServerEqpmnList|/sym/sym/srv/selectServerEqpmnList.do|/sym/sym/srv/
6290000|서버(S/W)목록|6000000|selectServerList|/sym/sym/srv/selectServerList.do|/sym/sym/srv/
6300000|장애신청관리|6000000|selectTroblReqstList|/sym/tbm/tbr/selectTroblReqstList.do|/sym/tbm/tbr/
6310000|장애처리결과관리|6000000|selectTroblProcessList|/sym/tbm/tbp/selectTroblProcessList.do|/sym/tbm/tbp/
7000000|시스템/서비스연계|0|dir|dir|dir
7010000|시스템연계관리|7000000|getSystemCntcList|/ssi/syi/sim/getSystemCntcList.do|/ssi/syi/sim/
7020000|연계현황관리|7000000|getCntcSttusList|/ssi/syi/ist/getCntcSttusList.do|/ssi/syi/ist/
7030000|연계메시지관리|7000000|getCntcMessageList|/ssi/syi/ims/getCntcMessageList.do|/ssi/syi/ims/
7040000|연계기관관리|7000000|getCntcInsttList|/ssi/syi/iis/getCntcInsttList.do|/ssi/syi/iis/
8000000|자산 관리|0|dir|dir|dir
8010000|개인지식관리|8000000|EgovComDamPersonalList|/dam/per/EgovComDamPersonalList.do|/dam/per/
8020000|지식맵관리(유형)|8000000|EgovComDamMapMaterialList|/dam/map/mat/EgovComDamMapMaterialList.do|/dam/map/mat/
8030000|지식맵관리(조직)|8000000|EgovComDamMapTeamList|/dam/map/tea/EgovComDamMapTeamList.do|/dam/map/tea/
8040000|지식전문가관리|8000000|EgovComDamSpecialistList|/dam/spe/spe/EgovComDamSpecialistList.do|/dam/spe/spe/
8050000|지식정보관리|8000000|EgovComDamManagementList|/dam/mgm/EgovComDamManagementList.do|/dam/mgm/
8060000|지식평가관리|8000000|EgovComDamAppraisalList|/dam/app/EgovComDamAppraisalList.do|/dam/app/
8070000|지식정보제공|8000000|listRequestOffer|/dam/spe/req/listRequestOffer.do|/dam/spe/req/
9000000|요소기술|0|dir|dir|dir
9010000|공휴일관리(달력)|9000000|EgovRestdeList|/sym/cal/EgovRestdeList.do|/sym/cal/
9020000|송수신모니터링|9000000|getTrsmrcvMntrngList|/utl/sys/trm/getTrsmrcvMntrngList.do|/utl/sys/trm/
9030000|DB서비스모니터링|9000000|getDbMntrngList|/utl/sys/dbm/getDbMntrngList.do|/utl/sys/dbm/
9040000|HTTP서비스모니터링|9000000|EgovComUtlHttpMonList|/utl/sys/htm/EgovComUtlHttpMonList.do|/utl/sys/htm/
9050000|프로세스모니터링|9000000|EgovComUtlProcessMonList|/utl/sys/prm/EgovComUtlProcessMonList.do|/utl/sys/prm/
9060000|네트워크서비스모니터링|9000000|selectNtwrkSvcMntrngList|/utl/sys/nsm/selectNtwrkSvcMntrngList.do|/utl/sys/nsm/
9070000|파일시스템모니터링|9000000|selectFileSysMntrngList|/utl/sys/fsm/selectFileSysMntrngList.do|/utl/sys/fsm/
9080000|프록시서비스|9000000|selectProxySvcList|/utl/sys/pxy/selectProxySvcList.do|/utl/sys/pxy/
9090000|파일동기화(대상서버)|9000000|selectSynchrnServerList|/utl/sys/ssy/selectSynchrnServerList.do|/utl/sys/ssy/
9100000|로그인세션정보체크|9000000|loginSessionView|/utl/sys/rsc/loginSessionView.do|/utl/sys/rsc/
9110000|서버자원모니터링-대상목록|9000000|selectMntrngServerList|/utl/sys/srm/selectMntrngServerList.do|/utl/sys/srm/
